734	337	717	6772	3286	4068	2631	462	235	6155	8611	9891	75	236	69	130	416	238	167	182	541	64	129	34
96	670	636	4853	5233	6279	7826	1369	682	5980	17	4837	58	258	708	327	254	253	139	393	187	37	NaN	109
221	396	409	6731	4080	2424	6041	1150	596	7449	11518	11221	117	207	68	51	144	111	46	170	336	19	54	125
42	642	872	9837	2467	6506	4846	1216	1219	3297	7968	6048	47	113	226	70	6	125	205	240	289	208	31	208
1275	30	124	2599	2735	2318	4466	979	382	7755	4683	5227	124	137	277	169	221	143	8	NaN	134	89	34	204
307	394	825	3945	3326	7571	30	3952	229	6006	9335	8745	NaN	129	223	81	156	75	NaN	174	243	75	95	471
2572	247	577	4216	3276	75	2241	1965	638	7407	7534	10752	394	163	117	123	99	NaN	22	78	289	32	28	299
703	591	616	4715	4491	4937	7160	404	226	3369	6924	10004	116	237	114	85	68	79	134	67	307	20	34	105
4153	245	197	4780	6474	7148	5661	822	628	4533	12868	2101	70	138	208	50	67	47	48	128	254	76	99	34
270	732	352	3162	2486	4930	255	3616	691	8607	6470	5937	367	102	283	96	166	287	610	219	316	71	38	29
505	462	143	4499	3064	6290	2183	1414	1176	1826	6639	6803	19	149	107	50	234	82	NaN	59	170	40	23	15
620	44	367	7071	4003	6133	110	2483	6455	8803	4183	10905	104	121	250	195	48	232	81	51	275	121	7	67
112	878	941	4868	2186	8585	3773	4460	2013	3256	4312	1007	62	482	94	172	638	93	157	109	187	40	23	192
1408	10	9	4557	5029	5941	4782	4363	1292	5715	6331	6268	134	161	59	44	97	263	96	76	264	77	102	439
4032	789	349	9952	5780	8945	4469	635	842	5176	5444	8015	50	238	654	89	76	70	83	111	256	61	217	40
1103	862	325	7326	9006	9643	1449	1270	165	4819	5855	7518	78	451	520	28	62	119	11	12	217	26	135	42
806	487	48	7116	4456	5356	1474	868	47	9086	9781	8437	33	156	NaN	126	69	47	65	40	4	13	15	65
601	243	153	3016	3184	6354	827	1337	61	1654	4633	6677	42	415	87	54	90	129	139	73	698	92	28	34
283	174	245	18	4347	3	2890	1468	292	3567	4856	4789	273	180	342	NaN	76	346	6	69	545	60	58	34
849	358	348	5171	8408	2927	3373	1440	939	6400	2578	6273	95	323	274	357	80	61	329	100	537	90	48	422
241	889	484	5440	3148	4298	4460	343	314	6079	6516	4977	47	122	128	51	80	44	123	530	105	206	105	43
558	769	475	4537	3665	3553	3388	1626	418	8077	NaN	NaN	125	80	275	57	173	201	96	144	150	82	NaN	NaN
805	693	217	3241	2841	5282	NaN	2767	156	3889	NaN	NaN	368	209	107	18	138	30	NaN	231	124	70	NaN	NaN
484	445	608	3027	7781	4067	NaN	1666	701	8905	NaN	NaN	253	244	203	12	31	136	NaN	76	159	47	NaN	NaN
4444	638	164	7751	2577	5088	NaN	1154	230	6748	NaN	NaN	45	266	49	138	243	47	NaN	98	315	101	NaN	NaN
NaN	39	555	5739	5474	NaN	NaN	175	569	8980	NaN	NaN	NaN	202	521	175	51	NaN	NaN	169	147	188	NaN	NaN
NaN	87	3	NaN	3108	NaN	NaN	303	218	NaN	NaN	NaN	NaN	149	131	NaN	156	NaN	NaN	110	77	NaN	NaN	NaN
NaN	339	387	NaN	4022	NaN	NaN	218	737	NaN	NaN	NaN	NaN	61	230	NaN	97	NaN	NaN	111	109	NaN	NaN	NaN
NaN	NaN	346	NaN	NaN	NaN	NaN	NaN	98	NaN	NaN	NaN	NaN	NaN	327	NaN	NaN	NaN	NaN	NaN	176	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1378	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	425	NaN	NaN	NaN
