98	172	125	98	111	121	221	467	297	212	241	17	126	47	50	68	52	42	298	107	168	33	273	32
175	39	10	159	55	94	103	40	271	147	156	319	75	48	51	159	46	87	32	212	590	49	158	79
100	74	229	91	181	73	40	150	156	99	302	237	148	58	184	120	118	58	24	41	427	199	137	493
65	166	85	185	81	67	3934	NaN	181	53	68	95	70	77	99	70	57	17	40	15	273	52	132	33
15	89	6	347	211	4	136	111	231	146	176	34	58	177	29	77	28	14	NaN	6	457	114	118	31
22	94	11774	138	51	27	55	150	191	126	122	160	31	32	37	41	43	15	35	21	128	32	119	4
58	78	122	22	66	45	392	17	95	1126	130	42	112	50	95	27	44	21	267	372	155	48	214	41
78	28	50	46	31	136	2	93	88	30	320	358	68	11	91	137	81	65	38	77	58	35	8250	378
1	84	38	33	52	191	18	171	120	42	162	40	42	112	50	52	23	208	64	345	19	29	121	38
116	105	89	124	111	24	76	229	63	41	47	249	12	39	111	105	47	254	130	26	45	46	79	174
61	65	53	33	156	43	66	36	113	137	62	55	84	82	49	104	73	14	108	54	49	69	53	53
98	129	81	13	167	231	87	58	128	186	88	198	34	42	68	62	57	59	6	214	NaN	98	29	72
26	83	62	64	86	13	519	258	30	54	58	96	NaN	52	44	26	39	16	226	201	131	72	140	132
1659	37	85	75	22	175	105	192	438	352	88	167	56	40	127	45	40	59	NaN	52	97	147	41	215
59	201	48	37	94	35	56	84	101	131	118	223	47	185	44	7	52	32	26	86	116	38	82	47
68	93	46	23	15	59	19544	125	404	189	3966	132	90	24	55	4	112	24	24	197	48	152	142	102
28	72	90	34	35	217	6	63	297	79	120	28	30	73	76	39	112	212	33	2375	NaN	103	91	NaN
28	24	93	23	62	79	158	371	239	73	3980	157	32	18	85	32	17	37	136	160	271	50	226	79
16	75	90	41	21	34	28	77	66	5	121	154	14	54	145	28	51	43	68	156	20	12	105	69
53	52	55	13	56	9	12	62	192	20	214	127	76	65	89	166	61	71	164	388	29	58	325	305
56	23	63	45	110	112	183	149	89	170	2	42	43	86	82	52	232	95	44	86	151	31	17	57
32	61	30	55	81	59	332	1	97	67	82	92	23	125	44	97	55	114	260	182	151	109	97	286
81	59	25	35	116	91	373	57	192	44	43	67	34	39	144	154	112	69	53	1033	500	64	215	57
60	91	66	73	81	64	NaN	184	71	150	91	195	39	76	95	154	104	22	133	12	36	63	116	67
66	2	31	42	41	209	NaN	62	305	34	52	78	93	22	26	58	75	74	NaN	74	630	56	290	7
48	182	118	52	35	10	NaN	90	79	121	50	14	57	125	38	103	62	37	NaN	NaN	169	78	214	11
120	46	28	121	81	24	NaN	248	37	34	69	114	95	53	19	54	56	28	NaN	233	35	60	512	411
NaN	40	60	118	49	85	NaN	NaN	303	NaN	97	20	NaN	40	91	206	43	14	NaN	NaN	447	NaN	97	28
NaN	126	39	NaN	122	120	NaN	NaN	NaN	NaN	NaN	315	NaN	75	51	NaN	35	37	NaN	NaN	NaN	NaN	NaN	52
NaN	41	31	NaN	149	NaN	NaN	NaN	NaN	NaN	NaN	48	NaN	47	67	NaN	45	NaN	NaN	NaN	NaN	NaN	NaN	54
